Cumulative,Cumulative Test positive,Cumulative tests performed,Date,Discharged,Expired,Home Quarantine,New (last 24 hrs),Region,Still admitted,Tests performed in last 24 hours,Positivity Rate (%),Case Fatality Rate (%)
48,2,80,2020-03-11,0,0,0.0,3,ICT,2,8.0,2.5,0.0
61,0,95,2020-03-11,0,0,0.0,6,Punjab,0,7.0,0.0,
84,14,171,2020-03-11,1,0,0.0,1,Sindh,13,55.0,8.187134502923977,0.0
20,0,28,2020-03-11,0,0,0.0,0,KP,0,2.0,0.0,
3,0,0,2020-03-11,0,0,0.0,0,KPTD,0,0.0,,
19,1,18,2020-03-11,0,0,0.0,4,Balochistan,1,4.0,5.555555555555555,0.0
3,0,4,2020-03-11,0,0,0.0,0,AJK,0,0.0,0.0,
10,2,26,2020-03-11,0,0,0.0,0,GB,2,4.0,7.6923076923076925,0.0
10,3,28,2020-03-12,0,0,0.0,0,GB,3,2.0,10.714285714285714,0.0
3,0,8,2020-03-12,0,0,0.0,0,AJK,0,4.0,0.0,
23,1,18,2020-03-12,0,0,0.0,4,Balochistan,1,4.0,5.555555555555555,0.0
3,0,0,2020-03-12,0,0,0.0,0,KPTD,0,0.0,,
67,0,105,2020-03-12,0,0,0.0,6,Punjab,0,10.0,0.0,
89,14,198,2020-03-12,2,0,0.0,5,Sindh,12,27.0,7.07070707070707,0.0
52,2,85,2020-03-12,0,0,0.0,4,ICT,2,5.0,2.3529411764705883,0.0
24,0,29,2020-03-12,0,0,0.0,4,KP,0,1.0,0.0,
4,0,9,2020-03-13,0,0,0.0,1,AJK,0,1.0,0.0,
17,3,32,2020-03-13,0,0,0.0,7,GB,3,4.0,9.375,0.0
4,0,0,2020-03-13,0,0,0.0,1,KPTD,0,0.0,,
31,1,18,2020-03-13,0,0,0.0,8,Balochistan,1,0.0,5.555555555555555,0.0
107,15,240,2020-03-13,2,0,0.0,18,Sindh,13,42.0,6.25,0.0
27,0,30,2020-03-13,0,0,0.0,3,KP,0,1.0,0.0,
71,0,110,2020-03-13,0,0,0.0,4,Punjab,0,5.0,0.0,
57,2,92,2020-03-13,0,0,0.0,5,ICT,2,7.0,2.1739130434782608,0.0
4,0,10,2020-03-14,0,0,0.0,0,AJK,0,1.0,0.0,
45,6,35,2020-03-14,0,0,0.0,14,Balochistan,6,17.0,17.142857142857142,0.0
4,0,0,2020-03-14,0,0,0.0,0,KPTD,0,0.0,,
23,3,36,2020-03-14,0,0,0.0,6,GB,3,4.0,8.333333333333332,0.0
119,16,282,2020-03-14,3,0,0.0,12,Sindh,13,42.0,5.673758865248227,0.0
77,0,116,2020-03-14,0,0,0.0,6,Punjab,0,6.0,0.0,
62,3,99,2020-03-14,0,0,0.0,5,ICT,3,7.0,3.0303030303030303,0.0
29,0,31,2020-03-14,0,0,0.0,2,KP,0,1.0,0.0,
65,4,115,2020-03-15,0,0,0.0,3,ICT,4,16.0,3.4782608695652173,0.0
83,0,126,2020-03-15,0,0,0.0,6,Punjab,0,10.0,0.0,
127,18,315,2020-03-15,3,0,0.0,8,Sindh,15,33.0,5.714285714285714,0.0
30,0,32,2020-03-15,0,0,0.0,1,KP,0,1.0,0.0,
5,0,0,2020-03-15,0,0,0.0,1,KPTD,0,0.0,,
45,6,42,2020-03-15,0,0,0.0,0,Balochistan,6,7.0,14.285714285714285,0.0
4,0,11,2020-03-15,0,0,0.0,0,AJK,0,1.0,0.0,
23,3,45,2020-03-15,0,0,0.0,0,GB,3,9.0,6.666666666666667,0.0
9,0,11,2020-03-16,0,0,0.0,1,AJK,0,0.0,0.0,
0,6,28,2020-03-16,0,0,0.0,0,Mobile Lab,0,6.0,21.428571428571427,0.0
23,3,45,2020-03-16,0,0,0.0,0,GB,3,0.0,6.666666666666667,0.0
70,5,40,2020-03-16,0,0,0.0,21,Balochistan,10,12.0,12.5,0.0
135,34,364,2020-03-16,3,0,0.0,8,Sindh,32,49.0,9.340659340659341,0.0
36,0,32,2020-03-16,0,0,0.0,6,KP,0,0.0,0.0,
5,0,0,2020-03-16,0,0,0.0,0,KPTD,0,0.0,,
95,1,166,2020-03-16,0,0,0.0,12,Punjab,1,40.0,0.6024096385542169,0.0
69,4,147,2020-03-16,0,0,0.0,4,ICT,4,32.0,2.7210884353741496,0.0
76,4,581,2020-03-17,1,0,0.0,7,ICT,3,195.0,0.6884681583476765,0.0
112,1,166,2020-03-17,0,0,0.0,17,Punjab,1,,0.6024096385542169,0.0
140,150,554,2020-03-17,3,0,0.0,5,Sindh,147,190.0,27.075812274368232,0.0
52,15,51,2020-03-17,0,0,0.0,25,KP,15,19.0,29.411764705882355,0.0
5,0,0,2020-03-17,0,0,0.0,0,KPTD,0,0.0,,
103,14,163,2020-03-17,0,0,0.0,33,Balochistan,14,95.0,8.588957055214724,0.0
20,0,11,2020-03-17,0,0,0.0,11,AJK,0,0.0,0.0,
25,3,45,2020-03-17,0,0,0.0,2,GB,3,0.0,6.666666666666667,0.0
21,0,11,2020-03-18,0,0,0.0,1,AJK,0,0.0,0.0,
134,15,151,2020-03-18,0,0,0.0,79,Balochistan,15,0.0,9.933774834437086,0.0
6,0,0,2020-03-18,0,0,0.0,1,KPTD,0,0.0,,
29,3,51,2020-03-18,0,0,0.0,4,GB,5,0.0,5.88235294117647,0.0
151,172,606,2020-03-18,3,0,0.0,11,Sindh,169,0.0,28.38283828382838,0.0
129,26,133,2020-03-18,0,0,0.0,17,Punjab,26,0.0,19.548872180451127,0.0
84,8,627,2020-03-18,1,0,0.0,8,ICT,3,0.0,1.2759170653907497,0.0
58,17,42,2020-03-18,0,0,0.0,6,KP,17,0.0,40.476190476190474,0.0
23,1,23,2020-03-19,0,0,0.0,2,AJK,1,0.0,4.3478260869565215,0.0
134,23,637,2020-03-19,0,0,0.0,0,Balochistan,23,0.0,3.610675039246468,0.0
7,0,0,2020-03-19,0,0,0.0,1,KPTD,0,0.0,,
64,13,90,2020-03-19,0,0,0.0,35,GB,11,0.0,14.444444444444443,0.0
173,208,908,2020-03-19,3,0,0.0,22,Sindh,205,0.0,22.90748898678414,0.0
158,33,254,2020-03-19,0,0,0.0,29,Punjab,33,0.0,12.992125984251967,0.0
103,5,184,2020-03-19,2,0,0.0,19,ICT,3,0.0,2.717391304347826,0.0
72,19,67,2020-03-19,0,2,0.0,18,KP,17,0.0,28.35820895522388,10.526315789473683
137,10,277,2020-03-20,2,0,0.0,34,ICT,8,0.0,3.6101083032490973,0.0
182,80,872,2020-03-20,0,0,0.0,24,Punjab,80,0.0,9.174311926605505,0.0
182,245,1210,2020-03-20,3,0,0.0,9,Sindh,242,0.0,20.24793388429752,0.0
94,23,67,2020-03-20,0,2,0.0,22,KP,21,0.0,34.32835820895522,8.695652173913043
19,0,0,2020-03-20,0,0,0.0,12,KPTD,0,0.0,,
650,81,805,2020-03-20,0,0,0.0,364,Balochistan,81,0.0,10.062111801242237,0.0
36,1,36,2020-03-20,0,0,0.0,13,AJK,1,0.0,2.7777777777777777,0.0
64,21,143,2020-03-20,0,0,0.0,0,GB,21,0.0,14.685314685314685,0.0
698,81,805,2020-03-21,0,0,0.0,47,Balochistan,81,0.0,10.062111801242237,0.0
310,30,310,2020-03-21,0,0,0.0,220,GB,30,0.0,9.67741935483871,0.0
40,1,40,2020-03-21,0,0,0.0,4,AJK,1,0.0,2.5,0.0
21,0,0,2020-03-21,0,0,0.0,2,KPTD,0,0.0,,
171,11,325,2020-03-21,2,0,0.0,34,ICT,9,0.0,3.3846153846153846,0.0
210,253,1497,2020-03-21,3,1,0.0,28,Sindh,249,0.0,16.90046760187041,0.3952569169960474
196,96,894,2020-03-21,0,0,0.0,14,Punjab,96,0.0,10.738255033557047,0.0
130,23,130,2020-03-21,0,2,0.0,31,KP,21,0.0,17.692307692307693,8.695652173913043
188,11,366,2020-03-22,2,0,0.0,17,ICT,9,0.0,3.0054644808743167,0.0
246,152,1361,2020-03-22,0,0,0.0,50,Punjab,152,0.0,11.168258633357825,0.0
232,396,1497,2020-03-22,3,1,0.0,22,Sindh,392,0.0,26.452905811623246,0.25252525252525254
155,31,264,2020-03-22,0,2,0.0,25,KP,29,0.0,11.742424242424242,6.451612903225806
21,0,0,2020-03-22,0,0,0.0,0,KPTD,0,0.0,,
1380,104,1380,2020-03-22,0,0,0.0,593,Balochistan,104,0.0,7.536231884057972,0.0
42,1,42,2020-03-22,0,0,0.0,2,AJK,1,0.0,2.380952380952381,0.0
310,55,315,2020-03-22,0,0,0.0,0,GB,55,0.0,17.46031746031746,0.0
44,1,44,2020-03-23,0,0,0.0,2,AJK,1,0.0,2.272727272727273,0.0
1405,108,1405,2020-03-23,0,1,0.0,25,Balochistan,107,0.0,7.686832740213523,0.9259259259259258
196,31,305,2020-03-23,0,3,0.0,41,KP,28,0.0,10.163934426229508,9.67741935483871
310,71,338,2020-03-23,0,0,0.0,0,GB,71,0.0,21.005917159763314,0.0
257,225,1436,2020-03-23,0,0,0.0,11,Punjab,225,0.0,15.668523676880222,0.0
198,15,404,2020-03-23,2,0,0.0,10,ICT,13,0.0,3.7128712871287126,0.0
232,333,1512,2020-03-23,4,1,0.0,0,Sindh,328,0.0,22.023809523809522,0.3003003003003003
60,1,60,2020-03-24,0,0,0.0,16,AJK,1,0.0,1.6666666666666667,0.0
1407,110,1407,2020-03-24,0,1,0.0,2,Balochistan,109,0.0,7.818052594171997,0.9090909090909091
431,38,448,2020-03-24,0,3,0.0,235,KP,35,0.0,8.482142857142858,7.894736842105263
310,80,500,2020-03-24,0,1,0.0,0,GB,79,0.0,16.0,1.25
257,249,1436,2020-03-24,0,0,0.0,0,Punjab,249,0.0,17.33983286908078,0.0
226,15,427,2020-03-24,2,0,0.0,28,ICT,13,0.0,3.51288056206089,0.0
232,394,1579,2020-03-24,4,1,0.0,0,Sindh,389,0.0,24.952501583280558,0.25380710659898476
236,18,459,2020-03-25,2,0,0.0,10,ICT,16,0.0,3.9215686274509802,0.0
257,296,1436,2020-03-25,2,1,0.0,0,Punjab,293,0.0,20.61281337047354,0.33783783783783783
238,407,1579,2020-03-25,14,1,0.0,6,Sindh,392,0.0,25.775807473084228,0.2457002457002457
538,78,566,2020-03-25,0,3,0.0,98,KP,75,0.0,13.780918727915195,3.8461538461538463
1437,110,1437,2020-03-25,0,1,0.0,30,Balochistan,109,0.0,7.6548364648573415,0.9090909090909091
65,1,66,2020-03-25,0,0,0.0,5,AJK,1,0.0,1.5151515151515151,0.0
347,81,580,2020-03-25,0,1,0.0,37,GB,80,0.0,13.96551724137931,1.2345679012345678
1437,131,1455,2020-03-26,0,1,0.0,0,Balochistan,130,0.0,9.003436426116838,0.7633587786259541
77,1,77,2020-03-26,0,0,0.0,12,AJK,1,0.0,1.2987012987012987,0.0
694,80,704,2020-03-26,2,3,0.0,138,KP,75,0.0,11.363636363636363,3.75
347,84,624,2020-03-26,0,1,0.0,0,GB,83,0.0,13.461538461538462,1.1904761904761905
257,323,1436,2020-03-26,3,2,0.0,0,Punjab,318,0.0,22.493036211699163,0.6191950464396285
295,413,1592,2020-03-26,14,1,0.0,37,Sindh,398,0.0,25.94221105527638,0.24213075060532688
255,25,561,2020-03-26,2,0,0.0,19,ICT,8,0.0,4.45632798573975,0.0
777,91,762,2020-03-27,2,1,0.0,430,GB,88,0.0,11.94225721784777,1.098901098901099
712,25,712,2020-03-27,2,0,0.0,151,ICT,12,0.0,3.51123595505618,0.0
1298,408,2257,2020-03-27,3,3,0.0,741,Punjab,402,0.0,18.077093486929552,0.7352941176470588
4456,417,1592,2020-03-27,14,1,0.0,416,Sindh,402,0.0,26.19346733668342,0.2398081534772182
704,123,917,2020-03-27,2,3,0.0,10,KP,118,0.0,13.413304252998909,2.4390243902439024
1494,131,1512,2020-03-27,0,1,0.0,57,Balochistan,130,0.0,8.664021164021165,0.7633587786259541
83,2,83,2020-03-27,0,0,0.0,6,AJK,2,0.0,2.4096385542168677,0.0
787,107,832,2020-03-28,3,1,0.0,45,GB,12,0.0,12.860576923076922,0.9345794392523363
90,2,97,2020-03-28,0,0,0.0,7,AJK,2,0.0,2.0618556701030926,0.0
1494,133,1657,2020-03-28,2,1,0.0,22,Balochistan,122,0.0,8.026554013277007,0.7518796992481203
910,39,1056,2020-03-28,2,0,0.0,198,ICT,8,0.0,3.6931818181818183,0.0
4807,457,5158,2020-03-28,14,1,0.0,351,Sindh,294,0.0,8.86002326483133,0.2188183807439825
3339,490,3310,2020-03-28,4,5,0.0,210,Punjab,237,0.0,14.803625377643503,1.0204081632653061
820,180,1121,2020-03-28,2,3,0.0,104,KP,50,0.0,16.057091882247992,1.6666666666666667
1601,138,1737,2020-03-29,2,1,5.0,136,Balochistan,130,0.0,7.9447322970639025,0.7246376811594203
97,2,97,2020-03-29,0,0,0.0,7,AJK,2,0.0,2.0618556701030926,0.0
788,116,895,2020-03-29,4,1,99.0,1,GB,12,0.0,12.960893854748603,0.8620689655172413
928,188,1229,2020-03-29,2,4,122.0,108,KP,60,0.0,15.29698942229455,2.127659574468085
3521,558,3492,2020-03-29,4,5,302.0,182,Punjab,247,0.0,15.979381443298967,0.8960573476702508
1067,43,1213,2020-03-29,2,0,30.0,157,ICT,11,0.0,3.544929925803792,0.0
5322,481,5673,2020-03-29,14,2,171.0,515,Sindh,294,0.0,8.4787590340208,0.4158004158004158
105,6,105,2020-03-30,0,0,0.0,8,AJK,6,0.0,5.714285714285714,0.0
1695,144,1710,2020-03-30,2,1,8.0,94,Balochistan,133,0.0,8.421052631578947,0.6944444444444444
1022,195,1324,2020-03-30,2,5,128.0,94,KP,60,0.0,14.72809667673716,2.564102564102564
862,128,862,2020-03-30,4,1,111.0,74,GB,12,0.0,14.849187935034802,0.78125
3616,593,3492,2020-03-30,5,6,329.0,95,Punjab,253,0.0,16.981672394043528,1.0118043844856661
1200,51,1310,2020-03-30,3,0,35.0,133,ICT,13,0.0,3.8931297709923665,0.0
5945,508,5945,2020-03-30,16,5,181.0,623,Sindh,306,0.0,8.544995794785534,0.984251968503937
1395,58,1469,2020-03-31,3,0,39.0,195,ICT,16,0.0,3.9482641252552755,0.0
3770,652,2500,2020-03-31,5,9,335.0,154,Punjab,303,0.0,26.08,1.3803680981595092
6328,627,6328,2020-03-31,42,7,263.0,383,Sindh,315,0.0,9.90834386852086,1.1164274322169059
1334,221,1512,2020-03-31,2,6,143.0,312,KP,70,0.0,14.616402116402117,2.7149321266968327
1825,153,1792,2020-03-31,2,1,11.0,130,Balochistan,139,0.0,8.537946428571429,0.6535947712418301
177,6,177,2020-03-31,0,0,0.0,72,AJK,6,0.0,3.389830508474576,0.0
880,148,880,2020-03-31,4,2,130.0,18,GB,12,0.0,16.818181818181817,1.3513513513513513
239,6,239,2020-04-01,0,0,0.0,62,AJK,6,0.0,2.510460251046025,0.0
891,184,750,2020-04-01,4,2,166.0,11,GB,12,0.0,24.53333333333333,1.0869565217391304
1934,158,1934,2020-04-01,17,1,16.0,109,Balochistan,124,0.0,8.169596690796277,0.6329113924050633
4462,708,2720,2020-04-01,5,9,337.0,692,Punjab,357,0.0,26.029411764705884,1.2711864406779663
6578,676,6578,2020-04-01,51,8,232.0,250,Sindh,385,0.0,10.276679841897234,1.183431952662722
1524,253,1271,2020-04-01,2,6,171.0,190,KP,74,0.0,19.90558615263572,2.371541501976284
1703,54,1703,2020-04-01,3,0,35.0,122,ICT,16,0.0,3.1708749266001175,0.0
1997,62,1997,2020-04-02,3,0,44.0,294,ICT,15,0.0,3.104656985478217,0.0
5086,845,2945,2020-04-02,6,11,444.0,624,Punjab,384,0.0,28.69269949066214,1.301775147928994
6926,743,6926,2020-04-02,58,9,289.0,348,Sindh,387,0.0,10.727692751949178,1.2113055181695829
1814,276,1814,2020-04-02,19,8,165.0,290,KP,84,0.0,15.214994487320837,2.898550724637681
2049,169,2049,2020-04-02,17,1,26.0,115,Balochistan,125,0.0,8.247925817471938,0.591715976331361
249,9,249,2020-04-02,0,0,0.0,10,AJK,9,0.0,3.614457831325301,0.0
894,187,797,2020-04-02,4,2,169.0,3,GB,12,0.0,23.462986198243414,1.06951871657754
322,9,322,2020-04-03,0,0,0.0,73,AJK,9,0.0,2.7950310559006213,0.0
2171,169,2171,2020-04-03,17,1,26.0,122,Balochistan,125,0.0,7.784431137724551,0.591715976331361
1938,311,1938,2020-04-03,30,9,180.0,124,KP,92,0.0,16.04747162022704,2.8938906752411575
961,190,844,2020-04-03,5,3,170.0,67,GB,12,0.0,22.511848341232227,1.5789473684210527
5522,920,15134,2020-04-03,6,11,447.0,436,Punjab,456,0.0,6.079027355623101,1.1956521739130435
2395,68,2395,2020-04-03,3,0,47.0,398,ICT,18,0.0,2.8392484342379958,0.0
7504,783,7504,2020-04-03,65,11,297.0,578,Sindh,410,0.0,10.434434968017058,1.40485312899106
5456,1072,16508,2020-04-04,6,11,549.0,334,Punjab,506,1087.0,6.4938211776108545,1.0261194029850746
2369,343,1624,2020-04-04,30,11,210.0,431,KP,92,181.0,21.120689655172413,3.206997084548105
2569,75,2569,2020-04-04,3,0,58.0,174,ICT,14,174.0,2.919423900350331,0.0
