,count,mean,std,min,25%,50%,75%,max
a,200.0,0.5328487665774361,0.29259801193080315,0.003547824027945401,0.2856839413618978,0.5341264748374721,0.7733074781862423,0.998871239317711
b,200.0,0.4620547604389435,0.2738762377294234,0.000500633487622526,0.23328130754946874,0.4484264260906141,0.6819882563179581,0.9934369323644296
c,200.0,0.4841206535523871,0.29319032465713457,0.0028139955947603656,0.23306247830717755,0.4870984467860952,0.751640715397005,0.9874498574154371
d,200.0,0.5098751944490273,0.27684622303466966,0.02180862291947172,0.26459301833234117,0.5064541670872307,0.7453433763442512,0.9754027231082358
e,200.0,0.45335031971863754,0.30222037055930395,0.0015450078429279923,0.16607502987785883,0.43791981090252796,0.7236823195856079,0.9983297819904456
f,200.0,0.4826306687527604,0.2793363141410104,0.002976857284265999,0.24865185528216044,0.479605311516775,0.7217871380023138,0.9956926807616383
g,200.0,0.4649948546638336,0.31044068334339686,0.0011016641827095164,0.1757776312249006,0.4377773142900878,0.7418968142926676,0.9981677021742766
h,200.0,0.5144478237771761,0.2781187386425944,0.003678337728385217,0.2604041264017032,0.5454202691493242,0.7352961567151866,0.9970679314395253
i,200.0,0.49342783666790396,0.27940286550556687,0.010259194290097806,0.27108006480498514,0.49110461537833733,0.7393182902586892,0.9876205268516761
j,200.0,0.4960811531566229,0.2875436003484951,0.0018691064099978227,0.24814148526503907,0.4977322563745903,0.727809188871489,0.9807523383832187
k,200.0,0.5091295562390031,0.30420889425460534,0.0029259155783512014,0.22970630309468126,0.5279459600728947,0.783611364644711,0.9883704727172486
l,200.0,0.49450744871778923,0.26037841014088126,0.030513299496927715,0.285902656464881,0.48951403629948165,0.6854948509404586,0.9989389569780379
m,200.0,0.5234894019355509,0.2800097567218398,0.00037703132451083476,0.2959787361881541,0.5087620760721461,0.7431132743262887,0.9936238755228672
n,200.0,0.5138242764766855,0.28448607062777836,0.0013110438659956758,0.2553504485268001,0.5532857716395196,0.7419616767308781,0.997327227062539
o,200.0,0.5201729789546108,0.28614544221270216,0.0012974467976930582,0.26857786870035527,0.5448447397402141,0.7683860086715613,0.9903804743078777
p,200.0,0.5010745489593618,0.2888901624508436,0.0018360274980809832,0.2717547972650358,0.48095839445495653,0.7797450985163574,0.9924374058764961
q,200.0,0.4689164306531103,0.28846400814011325,0.0010789087648225282,0.23309935941041776,0.44495746941531317,0.6984179573426023,0.9988513862849666
r,200.0,0.4859213617717262,0.29297638377473784,0.0003842194754462014,0.24030020460650064,0.4828902761815222,0.7412270768563262,0.9972554699246433
s,200.0,0.5048725782533906,0.2755562409150458,0.0005412810792323475,0.28386550556353,0.4939933995131793,0.7227298342653109,0.997850876603767
t,200.0,0.4955389720673247,0.27832613574066145,0.0024305072320868204,0.26116207174905803,0.5084662201862067,0.7419611893429847,0.9930990399851533
u,200.0,0.5263819902688559,0.290914762433531,0.0030584735185124057,0.30539571869994003,0.5295000138144925,0.7554894058143601,0.9948755860063371
v,200.0,0.481333217302421,0.29719580753078356,5.469696228965759e-05,0.20535865413206314,0.4592395899817067,0.7434307343846247,0.9933208324649769
w,200.0,0.5005796000555055,0.2850075936192122,0.0013151822907218058,0.2525711720422085,0.5135208117178971,0.7356090031353084,0.9996194592583241
x,200.0,0.5079756205754165,0.29399719224806564,0.007875610046455872,0.23960579940055046,0.537152486047723,0.7554053579091535,0.9899842125758496
y,200.0,0.49280329715850324,0.28957954856865775,0.005227415688262571,0.2543460113793753,0.4824956667062381,0.7336638973382194,0.9977667170764402
